Regnr;Artikelnaam;Maximumprijs;Eenheid
EU/1/07/418/012;CELSENTRI TABLET FILMOMHULD 75MG;5,650697;STUK
22743;CERAZETTE TABLET OMHULD 0,075MG;0,117301;STUK
EU/1/97/053/003;CEREZYME INFUSIEPOEDER FLACON 400E;1486,015024;STUK
30046;CERTICAN DISPER TABLET 0,25MG;1,950833;STUK
121007//30041;CERTICAN TABLET 0,25MG;2,261252;STUK
121930//30041;CERTICAN TABLET 0,25MG;2,261252;STUK
30041;CERTICAN TABLET 0,25MG;2,261252;STUK
109317//30043;CERTICAN TABLET 0,75MG;6,654581;STUK
122383//30043;CERTICAN TABLET 0,75MG;6,654581;STUK
122510//30043;CERTICAN TABLET 0,75MG;6,654581;STUK
122535//30043;CERTICAN TABLET 0,75MG;6,654581;STUK
123690//30043;CERTICAN TABLET 0,75MG;6,654581;STUK
30043;CERTICAN TABLET 0,75MG;6,654581;STUK
EU/1/99/100/001;CETROTIDE INJPDR FLACON 0,25MG + SOLV 1ML + TOEBEH;35,528503;STUK
17418;CHLOORAMFENICOL POS OOGZALF 10MG/G TUBE 5G;0,804829;G
57557;CHLOORAMFENICOL TEVA OOGZALF 10MG/G TUBE 5G;0,804829;G
56726;CHLOORTALIDON ACCORD TABLET 50MG;1,342588;STUK
16520;CHLOORTALIDON APOTEX TABLET 50MG;1,342588;STUK
56286;CHLOORTALIDON TEVA TABLET 50MG;1,342588;STUK
EU/1/03/268/003;CHOLESTAGEL TABLET FILMOMHULD 625MG;0,821845;STUK
EU/1/03/268/004;CHOLESTAGEL TABLET FILMOMHULD 625MG;0,821845;STUK
14080;CIBACEN TABLET 10MG;0,081909;STUK
34432;CICLOSPORINE AUROBINDO CAPSULE 25MG;0,662534;STUK
34434;CICLOSPORINE AUROBINDO CAPSULE 100MG;2,502155;STUK
34435;CICLOSPORINE PCH CAPSULE 25MG;0,662534;STUK
34437;CICLOSPORINE PCH CAPSULE 100MG;2,502155;STUK
119603//12846;CILEST TABLET;0,273143;STUK
12846;CILEST TABLET;0,273143;STUK
24021;CIMETIDINE ACCORD TABLET FILMOMHULD 200MG;0,269356;STUK
24022;CIMETIDINE ACCORD TABLET FILMOMHULD 400MG;0,332800;STUK
24023;CIMETIDINE ACCORD TABLET FILMOMHULD 800MG;0,463565;STUK
56339;CIMETIDINE CF TABLET 400MG;0,332800;STUK
EU/1/09/544/005;CIMZIA INJVLST 200MG/ML PEN 1ML;467,930268;ML
EU/1/09/544/001;CIMZIA INJVLST 200MG/ML WWSP 1ML;467,930268;ML
107157//22687;CIPRAMIL DRUPPELVLOEISTOF 40MG/ML;1,389585;ML
111055//22687;CIPRAMIL DRUPPELVLOEISTOF 40MG/ML;1,389585;ML
120714//22687;CIPRAMIL DRUPPELVLOEISTOF 40MG/ML;1,389585;ML
22687;CIPRAMIL DRUPPELVLOEISTOF 40MG/ML;1,389585;ML
19593;CIPRAMIL TABLET OMHULD 20MG;0,176133;STUK
19594;CIPRAMIL TABLET OMHULD 40MG;0,212432;STUK
32200;CIPROFLOXACIN CLARIS INFVLST 2MG/ML FLACON 50ML;0,104890;ML
32200;CIPROFLOXACIN CLARIS INFVLST 2MG/ML FLACON 100ML;0,104890;ML
32200;CIPROFLOXACIN CLARIS INFVLST 2MG/ML FLACON 200ML;0,104890;ML
32200;CIPROFLOXACIN CLARIS INFVLST 2MG/ML ZAK 50ML;0,104890;ML
32200;CIPROFLOXACIN CLARIS INFVLST 2MG/ML ZAK 100ML;0,104890;ML
32200;CIPROFLOXACIN CLARIS INFVLST 2MG/ML ZAK 200ML;0,104890;ML
25739;CIPROFLOXACINE APOTEX TABLET 500MG;0,676363;STUK
26813;CIPROFLOXACINE AUROBINDO TABLET 250MG;0,312404;STUK
26815;CIPROFLOXACINE AUROBINDO TABLET 750MG;1,022104;STUK
26814;CIPROFLOXACINE AUROBINDO TABLET FILMOMHULD 500MG;0,676363;STUK
27311;CIPROFLOXACINE CF TABLET 250MG;0,312404;STUK
27312;CIPROFLOXACINE CF TABLET 500MG;0,676363;STUK
29032;CIPROFLOXACINE HIKMA INFVLST 2MG/ML FLACON 100ML;0,104890;ML
29032;CIPROFLOXACINE HIKMA INFVLST 2MG/ML ZAK 200ML;0,104890;ML
30477;CIPROFLOXACINE KABI INFVLST 2MG/ML FLACON 100ML;0,104890;ML
30478;CIPROFLOXACINE KABI INFVLST 2MG/ML FLACON 200ML;0,104890;ML
30477;CIPROFLOXACINE KABI INFVLST 2MG/ML ZAK 100ML;0,104890;ML
30478;CIPROFLOXACINE KABI INFVLST 2MG/ML ZAK 200ML;0,104890;ML
26276;CIPROFLOXACINE MYLAN TABLET 250MG;0,312404;STUK
26277;CIPROFLOXACINE MYLAN TABLET 500MG;0,676363;STUK
27232;CIPROFLOXACINE PCH TABLET 250MG;0,312404;STUK
27233;CIPROFLOXACINE PCH TABLET 500MG;0,676363;STUK
27234;CIPROFLOXACINE PCH TABLET 750MG;1,022104;STUK
25206;CIPROFLOXACINE SANDOZ TABLET 250MG;0,312404;STUK
25207;CIPROFLOXACINE SANDOZ TABLET 500MG;0,676363;STUK
25208;CIPROFLOXACINE SANDOZ TABLET 750MG;1,022104;STUK
106526//19341;CIPROXIN SUSPENSIE 50MG/ML;0,268979;ML
19341;CIPROXIN SUSPENSIE 50MG/ML;0,268979;ML
19342;CIPROXIN SUSPENSIE 100MG/ML;0,688250;ML
111630;CIQORIN CAPSULE 25MG;0,662534;STUK
111631;CIQORIN CAPSULE 50MG;1,283895;STUK
111632;CIQORIN CAPSULE 100MG;2,502155;STUK
14175;CISORDINOL ACUTARD INJVLST 50MG/ML AMPUL 1ML;9,475390;ML
114385//7288;CISORDINOL DEPOT INJVLST 200MG/ML AMPUL 1ML (IM);6,190848;ML
115016//7288;CISORDINOL DEPOT INJVLST 200MG/ML AMPUL 1ML (IM);6,190848;ML
122767//7288;CISORDINOL DEPOT INJVLST 200MG/ML AMPUL 1ML (IM);6,190848;ML
7288;CISORDINOL DEPOT INJVLST 200MG/ML AMPUL 1ML (IM);6,190848;ML
9287;CISORDINOL DRUPPELS 20MG/ML;0,345528;ML
14239//4294;CISORDINOL TABLET 2MG;0,041980;STUK
4294;CISORDINOL TABLET 2MG;0,041980;STUK
119731//4295;CISORDINOL TABLET 10MG;0,117053;STUK
14240//4295;CISORDINOL TABLET 10MG;0,117053;STUK
4295;CISORDINOL TABLET 10MG;0,117053;STUK
123356//4296;CISORDINOL TABLET 25MG;0,229355;STUK
4296;CISORDINOL TABLET 25MG;0,229355;STUK
104068;CISPLATINE ACCORD INFVLST CONC 1MG/ML FLACON 10ML;0,475430;ML
104068;CISPLATINE ACCORD INFVLST CONC 1MG/ML FLACON 25ML;0,475430;ML
104068;CISPLATINE ACCORD INFVLST CONC 1MG/ML FLACON 50ML;0,475430;ML
104068;CISPLATINE ACCORD INFVLST CONC 1MG/ML FLACON 100ML;0,475430;ML
101430;CISPLATINE PCH INFVLST CONC 1MG/ML FLACON 10ML;0,475430;ML
101430;CISPLATINE PCH INFVLST CONC 1MG/ML FLACON 50ML;0,475430;ML
101430;CISPLATINE PCH INFVLST CONC 1MG/ML FLACON 100ML;0,475430;ML
24575;CISPLATINE SANDOZ INFVLST CONC 1MG/ML FLACON 10ML;0,475430;ML
24575;CISPLATINE SANDOZ INFVLST CONC 1MG/ML FLACON 50ML;0,475430;ML
24575;CISPLATINE SANDOZ INFVLST CONC 1MG/ML FLACON 100ML;0,475430;ML
119686;CITALOPRAM AUROBINDO TABLET OMHULD 10MG;0,079314;STUK
122824;CITALOPRAM AUROBINDO TABLET OMHULD 30MG;0,327952;STUK
29755;CITALOPRAM BLUEFISH TABLET OMHULD 10MG;0,079314;STUK
25147;CITALOPRAM CF TABLET OMHULD 10MG;0,079314;STUK
25148;CITALOPRAM CF TABLET OMHULD 20MG;0,176133;STUK
31114;CITALOPRAM CF TABLET OMHULD 30MG;0,327952;STUK
25149;CITALOPRAM CF TABLET OMHULD 40MG;0,212432;STUK
28672;CITALOPRAM MYLAN TABLET OMHULD 20MG;0,176133;STUK
28673;CITALOPRAM MYLAN TABLET OMHULD 40MG;0,212432;STUK
31125;CITALOPRAM PCH TABLET OMHULD 10MG;0,079314;STUK
31126;CITALOPRAM PCH TABLET OMHULD 20MG;0,176133;STUK
31127;CITALOPRAM PCH TABLET OMHULD 40MG;0,212432;STUK
26734;CITALOPRAM SANDOZ TABLET OMHULD 20MG;0,176133;STUK
26735;CITALOPRAM SANDOZ TABLET OMHULD 30MG;0,327952;STUK
26736;CITALOPRAM SANDOZ TABLET OMHULD 40MG;0,212432;STUK
118826;CLARITROMYCINE ACCORD TABLET FILMOMHULD 250MG;0,328034;STUK
108434;CLARITROMYCINE AUROBINDO SR TABLET MVA 500MG;1,016946;STUK
107530;CLARITROMYCINE CF RETARD TABLET MVA 500MG;1,016946;STUK
32618;CLARITROMYCINE MYLAN TABLET 250MG;0,328034;STUK
32619;CLARITROMYCINE MYLAN TABLET 500MG;0,539842;STUK
29082;CLARITROMYCINE PCH TABLET 500MG;0,539842;STUK
29850;CLARITROMYCINE RANBAXY TABLET 500MG;0,539842;STUK
30849;CLARITROMYCINE SANDOZ GRAN V SUSPENSIE 125MG/5ML;0,058982;ML
30850;CLARITROMYCINE SANDOZ GRAN V SUSPENSIE 250MG/5ML;0,095264;ML
30789;CLARITROMYCINE SANDOZ TABLET 250MG;0,328034;STUK
30790;CLARITROMYCINE SANDOZ TABLET 500MG;0,539842;STUK
29081;CLARITROMYCINE TEVA TABLET 250MG;0,328034;STUK
29082;CLARITROMYCINE TEVA TABLET 500MG;0,539842;STUK
121186;CLEXANE INJVLST 2.000IE (20MG)/0,2ML WWSP;6,604828;ML
121186;CLEXANE INJVLST 2.000IE (20MG)/0,2ML WWSP ERIS;6,604828;ML
121187;CLEXANE INJVLST 4.000IE (40MG)/0,4ML WWSP;6,604828;ML
121824//121187;CLEXANE INJVLST 4.000IE (40MG)/0,4ML WWSP;6,604828;ML
121187;CLEXANE INJVLST 4.000IE (40MG)/0,4ML WWSP ERIS;6,604828;ML
121188;CLEXANE INJVLST 6.000IE (60MG)/0,6ML WWSP;6,604828;ML
121188;CLEXANE INJVLST 6.000IE (60MG)/0,6ML WWSP ERIS;6,604828;ML
121189;CLEXANE INJVLST 8.000IE (80MG)/0,8ML WWSP;6,604828;ML
121189;CLEXANE INJVLST 8.000IE (80MG)/0,8ML WWSP ERIS;6,604828;ML
121190;CLEXANE INJVLST 10.000IE (100MG)/1ML WWSP;6,604828;ML
121190;CLEXANE INJVLST 10.000IE (100MG)/1ML WWSP ERIS;6,604828;ML
121965//121190;CLEXANE INJVLST 10.000IE (100MG)/1ML WWSP ERIS;6,604828;ML
121191;CLEXANE INJVLST 12.000IE (120MG)/0,8ML WWSP;9,321842;ML
121191;CLEXANE INJVLST 12.000IE (120MG)/0,8ML WWSP ERIS;9,321842;ML
121192;CLEXANE INJVLST 15.000IE (150MG)/1ML WWSP;9,321842;ML
121192;CLEXANE INJVLST 15.000IE (150MG)/1ML WWSP ERIS;9,321842;ML
108229;CLINDAMYCINE CF CAPSULE 300MG;0,681740;STUK
101396;CLINDAMYCINE KABI INJVLST 150MG/ML AMPUL 2ML;2,327452;ML
101396;CLINDAMYCINE KABI INJVLST 150MG/ML AMPUL 4ML;2,327452;ML
23169=;21829 CLINDAMYCINE MYLAN CAPSULE 300MG;0,681740;STUK
21828;CLINDAMYCINE SANDOZ CAPSULE 150MG;0,306810;STUK
21829;CLINDAMYCINE SANDOZ CAPSULE 300MG;0,681740;STUK
25645=;23924 CLOMIPRAMINE HCL AUROBINDO TABLET OMHULD 10MG;0,043025;STUK
25646=;23925 CLOMIPRAMINE HCL AUROBINDO TABLET OMHULD 25MG;0,072427;STUK
15575;CLOMIPRAMINE HCL MYLAN TABLET OMHULD 10MG;0,043025;STUK
15576;CLOMIPRAMINE HCL MYLAN TABLET OMHULD 25MG;0,072427;STUK
23924;CLOMIPRAMINE HCL SANDOZ TABLET OMHULD 10MG;0,043025;STUK
23925;CLOMIPRAMINE HCL SANDOZ TABLET OMHULD 25MG;0,072427;STUK
28802=;56919 CLONIDINE HCL AUROBINDO TABLET 0,150MG;0,096625;STUK
56919;CLONIDINE HCL CF TABLET 0,150MG;0,096625;STUK
16337=;56919 CLONIDINE HCL SANDOZ TABLET 0,150MG;0,096625;STUK
19846=;56919 CLONIDINE HCL TEVA TABLET 0,150MG;0,096625;STUK
106384;CLOPIDOGREL AUROBINDO TAB FILMOM 75MG(ALS BISULF);0,305487;STUK
103173;CLOPIDOGREL MYLAN TABLET FILMOMHULD 75MG;0,305487;STUK
103071;CLOPIDOGREL SANDOZ TABLET FILMOMHULD 75MG;0,305487;STUK
EU/1/09/540/013;CLOPIDOGREL TEVA TABL FILMOMHULD 75MG(ALS WATERS);0,305487;STUK
14242//7288;CLOPIXOL DEPOT INJVLST 200MG/ML AMPUL 1ML;6,190848;ML
116183;CLOZAPINE ACCORD TABLET 25MG;0,125898;STUK
106835;CLOZAPINE CF TABLET 25MG;0,125898;STUK
106836;CLOZAPINE CF TABLET 100MG;0,424674;STUK
103903;CLOZAPINE LEYDEN DELTA TABLET 25MG;0,125898;STUK
103904;CLOZAPINE LEYDEN DELTA TABLET 100MG;0,424674;STUK
124171//103904;CLOZAPINE LEYDEN DELTA TABLET 100MG;0,424674;STUK
23635=;21823 CLOZAPINE MYLAN TABLET 25MG;0,125898;STUK
23636=;21825 CLOZAPINE MYLAN TABLET 100MG;0,424674;STUK
25049;CLOZAPINE SANDOZ TABLET 25MG;0,125898;STUK
25051;CLOZAPINE SANDOZ TABLET 100MG;0,424674;STUK
21823;CLOZAPINE TABLET 25MG;0,125898;STUK
21825;CLOZAPINE TABLET 100MG;0,424674;STUK
23677=;21823 CLOZAPINE TEVA TABLET 25MG;0,125898;STUK
23678=;21825 CLOZAPINE TEVA TABLET 100MG;0,424674;STUK
21823;CLOZAPINUM TABLET 25MG;0,125898;STUK
21825;CLOZAPINUM TABLET 100MG;0,424674;STUK
EU/1/98/086/001;COAPROVEL TABLET 150/12,5MG;0,227258;STUK
EU/1/98/086/004;COAPROVEL TABLET 300/12,5MG;0,211371;STUK
EU/1/98/086/012;COAPROVEL TABLET FILMOMHULD 150/12,5MG;0,227258;STUK
EU/1/98/086/029;COAPROVEL TABLET FILMOMHULD 150/12,5MG;0,227258;STUK
EU/1/98/086/032;COAPROVEL TABLET FILMOMHULD 150/12,5MG;0,227258;STUK
EU/1/98/086/017;COAPROVEL TABLET FILMOMHULD 300/12,5MG;0,211371;STUK
EU/1/98/086/030;COAPROVEL TABLET FILMOMHULD 300/12,5MG;0,211371;STUK
EU/1/98/086/033;COAPROVEL TABLET FILMOMHULD 300/12,5MG;0,211371;STUK
EU/1/98/086/024;COAPROVEL TABLET FILMOMHULD 300/25MG;0,253991;STUK
EU/1/98/086/031;COAPROVEL TABLET FILMOMHULD 300/25MG;0,253991;STUK
EU/1/98/086/034;COAPROVEL TABLET FILMOMHULD 300/25MG;0,253991;STUK
22365;CODIOVAN TABLET OMHULD 80/12,5MG;0,299452;STUK
29491;CODIOVAN TABLET OMHULD 160/12,5MG;0,284575;STUK
31122;CODIOVAN TABLET OMHULD 160/25MG;0,358472;STUK
115497//102949;COLISTIMETHAAT NATR EUR‐PH PDR V VERNOPL 1 MILJ IE;11,379741;STUK
29664;COLISTIN PDR V VERNEVELOPL FL 1 MILJ IE + SOLV 3ML;11,379741;STUK
EU/1/11/747/001;COLOBREATHE INHALPDR 1662500IE + TURBOSPIN;21,499818;STUK
112685//32744;COMBIGAN OOGDRUPPELS FLACON 5ML;2,424064;ML
32744;COMBIGAN OOGDRUPPELS FLACON 5ML;2,424064;ML
20233;COMBIVENT UNIT DOSE VERNEVELOPLOSSING FLACON 2,5ML;0,163804;ML
EU/1/98/058/001;COMBIVIR TABLET OMHULD;3,762516;STUK
104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
111399//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
111887//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
113469//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
116332//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
121915//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
122665//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
122841//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
123255//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
123366//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
123583//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
123874//104130;COMBODART CAPSULE 0,5/0,4MG;0,856619;STUK
EU/1/06/354/005;COMPETACT TABLET FILMOMHULD 15/850MG;0,655885;STUK
EU/1/98/081/001;COMTAN TABLET 200MG;0,544226;STUK
EU/1/98/081/002;COMTAN TABLET 200MG;0,544226;STUK
EU/1/98/081/003;COMTAN TABLET 200MG;0,544226;STUK
EU/1/98/082/001;COMTESS TABLET FILMOMHULD 200MG;0,544226;STUK
EU/1/98/082/003;COMTESS TABLET FILMOMHULD 200MG;0,544226;STUK
121456//28073;CONCERTA TABLET MVA 18MG;0,819025;STUK
28073;CONCERTA TABLET MVA 18MG;0,819025;STUK
101739;CONCERTA TABLET MVA 27MG;1,160737;STUK
28074;CONCERTA TABLET MVA 36MG;1,165444;STUK
28075;CONCERTA TABLET MVA 54MG;1,623443;STUK
109832//12093;CONDYLINE APPLICATIEVLOEISTOF 5MG/ML;5,726468;ML
117583//12093;CONDYLINE APPLICATIEVLOEISTOF 5MG/ML;5,726468;ML
120715//12093;CONDYLINE APPLICATIEVLOEISTOF 5MG/ML;5,726468;ML
12093;CONDYLINE APPLICATIEVLOEISTOF 5MG/ML;5,726468;ML
123385//12093;CONDYLINE APPLICATIEVLOEISTOF 5MG/ML;5,726468;ML
113591;CONVERIDE TABLET FILMOMHULD 300/12,5MG;0,211371;STUK
113592;CONVERIDE TABLET FILMOMHULD 300/25MG;0,253991;STUK
EU/1/06/372/005;COPALIA TABLET FILMOMHULD 5/ 80MG;0,647730;STUK
EU/1/06/372/011;COPALIA TABLET FILMOMHULD 5/160MG;0,809656;STUK
EU/1/06/372/013;COPALIA TABLET FILMOMHULD 5/160MG;0,809656;STUK
EU/1/06/372/019;COPALIA TABLET FILMOMHULD 10/160MG;0,836061;STUK
121159//30086;COPAXONE INJVLST 20MG/ML WWSP 1ML;26,739743;ML
30086;COPAXONE INJVLST 20MG/ML WWSP 1ML;26,739743;ML
113849;COPAXONE INJVLST 40MG/ML WWSP 1ML;59,533795;ML
EU/1/13/859/003;CORBILTA TABLET FILMOMHULD 50/12,5/200MG;0,530784;STUK
EU/1/13/859/009;CORBILTA TABLET FILMOMHULD 75/18,75/200MG;0,576653;STUK
EU/1/13/859/014;CORBILTA TABLET FILMOMHULD 100/25/200MG;0,545377;STUK
EU/1/13/859/020;CORBILTA TABLET FILMOMHULD 125/31,25/200MG;0,582777;STUK
EU/1/13/859/025;CORBILTA TABLET FILMOMHULD 150/37,5/200MG;0,556088;STUK
EU/1/13/859/036;CORBILTA TABLET FILMOMHULD 200/50/200MG;0,566285;STUK
11825;CORENITEC TABLET 20/12,5MG;0,297545;STUK
120838//11825;CORENITEC TABLET 20/12,5MG;0,297545;STUK
EU/1/05/317/003;CORLENTOR TABLET FILMOMHULD 5MG;0,406275;STUK
EU/1/05/317/010;CORLENTOR TABLET FILMOMHULD 7,5MG;0,404457;STUK
102106;CORTIFIL CREME 0,5MG/G;0,139234;G
116522;COSIMPREL TABLET FILMOMHULD 5/ 5MG;0,200394;STUK
122042//116522;COSIMPREL TABLET FILMOMHULD 5/ 5MG;0,200394;STUK
116523;COSIMPREL TABLET FILMOMHULD 5/10MG;0,282291;STUK
122068//116523;COSIMPREL TABLET FILMOMHULD 5/10MG;0,282291;STUK
116524;COSIMPREL TABLET FILMOMHULD 10/ 5MG;0,252726;STUK
122071//116524;COSIMPREL TABLET FILMOMHULD 10/ 5MG;0,252726;STUK
116525;COSIMPREL TABLET FILMOMHULD 10/10MG;0,334623;STUK
122069//116525;COSIMPREL TABLET FILMOMHULD 10/10MG;0,334623;STUK
107241//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
116218//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
117915//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
119854//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
121595//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
122533//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
122758//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
122792//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
122900//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
123489//33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
33660;COSOPT CONSERVEERMIDDELVRIJ OOGDRUPPELS FLAC 0,2ML;1,818446;ML
109463//22871;COSOPT OOGDRUPPELS FLACON 5ML;1,676648;ML
109567//22871;COSOPT OOGDRUPPELS FLACON 5ML;1,676648;ML
22871;COSOPT OOGDRUPPELS FLACON 5ML;1,676648;ML
13358;COTRIMOXAZOL AUROBINDO TABLET 480MG;0,144870;STUK
55505;COTRIMOXAZOL CF TABLET 480MG;0,144870;STUK
13270;COTRIMOXAZOL FORTE ACCORD TABLET 960MG;0,236854;STUK
13359;COTRIMOXAZOL FORTE AUROBINDO TABLET 960MG;0,236854;STUK
55506;COTRIMOXAZOL FORTE CF TABLET 960MG;0,236854;STUK
19370;COTRIMOXAZOL SANDOZ TABLET 960MG;0,236854;STUK
10550;COTRIMOXAZOL TEVA SUSPENSIE 240MG/5ML;0,047488;ML
9647;COTRIMOXAZOL TEVA TABLET 480MG;0,144870;STUK
10243;COTRIMOXAZOL TEVA TABLET 960MG;0,236854;STUK
100139;COVERAM ARG TABLET 5MG/ 5MG;0,405745;STUK
100140;COVERAM ARG TABLET 5MG/10MG;0,339218;STUK
100141;COVERAM ARG TABLET 10MG/ 5MG;0,419958;STUK
100142;COVERAM ARG TABLET 10MG/10MG;0,474446;STUK
31957;COVERSYL ARG TABLET FILMOMHULD 2,5MG;0,219464;STUK
110387//31958;COVERSYL ARG TABLET FILMOMHULD 5MG;0,266079;STUK
117514//31958;COVERSYL ARG TABLET FILMOMHULD 5MG;0,266079;STUK
121958//31958;COVERSYL ARG TABLET FILMOMHULD 5MG;0,266079;STUK
123210//31958;COVERSYL ARG TABLET FILMOMHULD 5MG;0,266079;STUK
31958;COVERSYL ARG TABLET FILMOMHULD 5MG;0,266079;STUK
110388//31959;COVERSYL ARG TABLET FILMOMHULD 10MG;0,363761;STUK
117516//31959;COVERSYL ARG TABLET FILMOMHULD 10MG;0,363761;STUK
123212//31959;COVERSYL ARG TABLET FILMOMHULD 10MG;0,363761;STUK
31959;COVERSYL ARG TABLET FILMOMHULD 10MG;0,363761;STUK
110390//33663;COVERSYL PLUS ARG TABLET FILMOMHULD 5/1,25MG;0,307499;STUK
120943//33663;COVERSYL PLUS ARG TABLET FILMOMHULD 5/1,25MG;0,307499;STUK
33663;COVERSYL PLUS ARG TABLET FILMOMHULD 5/1,25MG;0,307499;STUK
102257;COVERSYL PLUS ARG TABLET FILMOMHULD 10/2,5MG;0,320016;STUK
110790//102257;COVERSYL PLUS ARG TABLET FILMOMHULD 10/2,5MG;0,320016;STUK
32433;COZAAR PLUS TABLET OMHULD 100/12,5MG;0,304653;STUK
111522//17617;COZAAR TABLET FILMOMHULD 50MG;0,202062;STUK
119199//17617;COZAAR TABLET FILMOMHULD 50MG;0,202062;STUK
17617;COZAAR TABLET FILMOMHULD 50MG;0,202062;STUK
26791;COZAAR TABLET FILMOMHULD 100MG;0,219833;STUK
EU/1/15/1036/002;CRESEMBA CAPSULE 100MG;52,040134;STUK
EU/1/15/1036/001;CRESEMBA INFUSIEPOEDER FLACON 200MG;351,972885;STUK
106576//30823;CRESTOR TABLET FILMOMHULD 5MG;0,264444;STUK
112827//30823;CRESTOR TABLET FILMOMHULD 5MG;0,264444;STUK
30823;CRESTOR TABLET FILMOMHULD 5MG;0,264444;STUK
109412//26872;CRESTOR TABLET FILMOMHULD 10MG;0,313990;STUK
109991//26872;CRESTOR TABLET FILMOMHULD 10MG;0,313990;STUK
26872;CRESTOR TABLET FILMOMHULD 10MG;0,313990;STUK
30805//26872;CRESTOR TABLET FILMOMHULD 10MG;0,313990;STUK
31034//26872;CRESTOR TABLET FILMOMHULD 10MG;0,313990;STUK
111413//26873;CRESTOR TABLET FILMOMHULD 20MG;0,419618;STUK
26873;CRESTOR TABLET FILMOMHULD 20MG;0,419618;STUK
30806//26873;CRESTOR TABLET FILMOMHULD 20MG;0,419618;STUK
31035//26873;CRESTOR TABLET FILMOMHULD 20MG;0,419618;STUK
33507//26873;CRESTOR TABLET FILMOMHULD 20MG;0,419618;STUK
111388//26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
113056//26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
119871//26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
29698//26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
31036//26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
32457//26874;CRESTOR TABLET FILMOMHULD 40MG;0,452125;STUK
114730;CRINONE 80MG/G VAGINALE GEL IN APPLICATOR 1,125G;2,428523;G
119743//114730;CRINONE 80MG/G VAGINALE GEL IN APPLICATOR 1,125G;2,428523;G
EU/1/96/024/005;CRIXIVAN CAPSULE 400MG;1,603132;STUK
EU/1/05/328/002;CUBICIN INFUSIEPOEDER FLACON 500MG;114,321073;STUK
16647;CUTIVATE HYDROFIELE CREME 0,5MG/G;0,139234;G
30641//16647;CUTIVATE HYDROFIELE CREME 0,5MG/G;0,139234;G
101369//16648;CUTIVATE HYDROFOBE ZALF 0,05MG/G;0,141468;G
16648;CUTIVATE HYDROFOBE ZALF 0,05MG/G;0,141468;G
114051;CYCLOFOSFAMIDE SANDOZ INJECTIEPOEDER FLACON 2000MG;46,318400;STUK
6851;CYCLOGYL OOGDRUPPELS 1% FLACON 15ML;1,151450;ML
123211//5574;CYKLOKAPRON TABLET FILMOMHULD 500MG;0,323248;STUK
123809//5574;CYKLOKAPRON TABLET FILMOMHULD 500MG;0,323248;STUK
5574;CYKLOKAPRON TABLET FILMOMHULD 500MG;0,323248;STUK
EU/1/04/296/001;CYMBALTA CAPSULE MSR 30MG;0,451995;STUK
EU/1/04/296/002;CYMBALTA CAPSULE MSR 60MG;0,500896;STUK
13007;CYMEVENE INFUSIEPOEDER FLACON 500MG;32,742201;STUK
15742;CYPROTERONACETAAT PCH TABLET 50MG;0,537524;STUK
EU/1/14/957/001;CYRAMZA INFVLST CONC 10MG/ML FLACON 10ML;46,070579;ML
EU/1/14/957/003;CYRAMZA INFVLST CONC 10MG/ML FLACON 50ML;46,070579;ML
EU/1/97/039/001;CYSTAGON CAPSULE 50MG;0,880110;STUK
EU/1/97/039/003;CYSTAGON CAPSULE 150MG;2,277397;STUK
